Service Name,Physical Address Line 1,Physical Address Line 2,Physical Address Suburb,Physical Address State,Physical Address Post Code,2018 Aged Care Planning Region (ACPR),Care Type,Residential Places,Home Care Places,Restorative Care Places,Provider Name,Organisation Type,ABS Remoteness,Latitude,Longitude,2018-19 Australian Government Funding
Braidwood Multi-Purpose Service,77 Monkittee Street,,BRAIDWOOD,NSW,2622,Southern Highlands,Multi-Purpose Service,27,2,,Southern NSW Local Health District,State Government,Inner Regional Australia,-35.44276381,149.8054073," $1,040,681 "
Dellacourt,42 Nicholson Place,,WEST ALBURY,NSW,2640,Riverina/Murray,Residential,122,,,Lutheran Aged Care Albury,Charitable,Inner Regional Australia,-36.07540064,146.8908956," $8,179,760 "
Brewarrina Multi-Purpose Service,56 Doyle Street,,BREWARRINA,NSW,2839,Orana Far West,Multi-Purpose Service,12,4,,Western NSW Local Health District,State Government,Very Remote Australia,-29.961591,146.864313," $984,161 "
BaptistCare Maranoa Centre - Alstonville,15 The Avenue,,ALSTONVILLE,NSW,2477,Far North Coast,Residential,90,,,BaptistCare NSW & ACT,Charitable,Inner Regional Australia,-28.8407184,153.435638," $5,971,014 "
Urana Multi-Purpose Service,127-129 Princess Street,,URANA,NSW,2645,Riverina/Murray,Multi-Purpose Service,19,,,Murrumbidgee Local Health District,State Government,Outer Regional Australia,-35.325391,146.267697," $1,112,031 "
St Basil's Annandale,252 Johnston Street,,ANNANDALE,NSW,2038,Inner West,Residential,83,,,St Basil's Homes,Charitable,Major Cities of Australia,-33.87589048,151.1727327," $4,497,854 "
Baradine Multi-Purpose Service,5-9 Macquarie Street,,BARADINE,NSW,2396,Orana Far West,Multi-Purpose Service,14,3,,Western NSW Local Health District,State Government,Remote Australia,-30.945519,149.067008," $923,558 "
Autumn Lodge Butler Street,50 Butler Street,,ARMIDALE,NSW,2350,New England,Residential,64,,,Autumn Lodge,Community Based,Inner Regional Australia,-30.503834,151.65837," $3,839,089 "
Macquarie Lodge Aged Care Plus Centre,171 Wollongong Road,,ARNCLIFFE,NSW,2205,South East Sydney,Residential,130,,,The Salvation Army (NSW) Property Trust,Charitable,Major Cities of Australia,-33.93965582,151.1348558," $8,987,548 "
A H Orr Lodge,27 Clissold Street,,ASHFIELD,NSW,2131,Inner West,Residential,60,,,Ashfield Baptist Homes Ltd,Religious,Major Cities of Australia,-33.89495522,151.1258414," $3,588,861 "
Urbenville Multi-Purpose Service,45 Beaury Street,,URBENVILLE,NSW,2475,New England,Multi-Purpose Service,19,6,,Northern NSW Local Health District,State Government,Outer Regional Australia,-28.47155531,152.5432704," $1,242,609 "
Opal Cardinal Freeman,8-10 Clissold Street,,ASHFIELD,NSW,2131,Inner West,Residential,135,,,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.89595,151.127894," $8,691,346 "
Dorrigo Multi-Purpose Service,14 Beech Street,,DORRIGO,NSW,2453,Mid North Coast,Multi-Purpose Service,21,6,,Mid North Coast Local Health District,State Government,Outer Regional Australia,-30.340795,152.713811," $1,114,432 "
Crowley Retirement Village,154 Cherry Street,,BALLINA,NSW,2478,Far North Coast,Residential,71,,,The Trustees of the Roman Catholic Church for the Diocese of Lismore,Religious,Inner Regional Australia,-28.85368951,153.5693841," $5,099,350 "
Warren Multi-Purpose Service,Dr Kater Drive,,WARREN,NSW,2824,Orana Far West,Multi-Purpose Service,32,4,,Western NSW Local Health District,State Government,Outer Regional Australia,-31.693977,147.836194," $1,792,746 "
Tumbarumba Multi-Purpose Service,4 Mitchell Street,,TUMBARUMBA,NSW,2653,Riverina/Murray,Multi-Purpose Service,35,10,,Murrumbidgee Local Health District,State Government,Outer Regional Australia,-35.77979811,148.0055303," $1,669,057 "
Murray Haven Hostel,98 Punt Road,,BARHAM,NSW,2732,Riverina/Murray,Residential,55,,,Murray Haven Homes Inc,Community Based,Outer Regional Australia,-35.62314526,144.1331867," $2,197,143 "
Delegate Multi-Purpose Service,15 Craigie Street,,DELEGATE,NSW,2633,Southern Highlands,Multi-Purpose Service,10,4,,Southern NSW Local Health District,State Government,Outer Regional Australia,-37.044992,148.945673," $693,502 "
Richardson House,24 Gotha Street,,BARRABA,NSW,2347,New England,Residential,21,,,Barraba and District Retirement Homes Association Incorporated,Community Based,Outer Regional Australia,-30.38285943,150.6051632," $1,385,640 "
Culcairn Multi-Purpose Service,57 Balfour Street,,CULCAIRN,NSW,2660,Riverina/Murray,Multi-Purpose Service,28,2,,Murrumbidgee Local Health District,State Government,Inner Regional Australia,-35.667327,147.042488," $1,288,255 "
Weeroona Aged Care Plus Centre,14 Trebartha Street,,BASS HILL,NSW,2197,South West Sydney,Residential,104,,,The Salvation Army (NSW) Property Trust,Charitable,Major Cities of Australia,-33.89957214,151.0034707," $7,521,680 "
Oberon Multi-Purpose Service,67-75 North Street,,OBERON,NSW,2787,Central West,Multi-Purpose Service,14,8,,Western NSW Local Health District,State Government,Inner Regional Australia,-33.70539358,149.8530251," $971,820 "
Uniting Nareen Gardens Bateau Bay,5 Yakalla Street,,BATEAU BAY,NSW,2261,Central Coast,Residential,95,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.37428044,151.4793683," $5,612,695 "
Trangie Multi-Purpose Service,28 Harris Street,,TRANGIE,NSW,2823,Orana Far West,Multi-Purpose Service,21,2,,Western NSW Local Health District,State Government,Outer Regional Australia,-32.02902357,147.9742714," $1,173,621 "
Southern Cross Care Reynolds Court Residential Aged Care,7 Bias Avenue,,BATEAU BAY,NSW,2261,Central Coast,Residential,80,,,Southern Cross Care (NSW & ACT) Limited,Religious,Major Cities of Australia,-33.37655678,151.4805947," $5,267,142 "
