Service name,Physical Address Line 1,Physical Address Line 2,Physical Address Suburb,Physical Address State,Physical Address Post Code,2015 Aged Care Planning Region (ACPR),Care Type,Residential Places,Home Care Places,Restorative Care Places,Provider Name,Organisation Type,ABS Remoteness,Latitude,Longitude,2016-17 Australian Government Funding
Braidwood Multi-Purpose Service,77 Monkittee Street,,BRAIDWOOD,NSW,2622,Southern Highlands,Multi-Purpose Service,27,2,,Southern NSW Local Health District,State Government,Inner Regional Australia,-35.44276381,149.8054073," $947,222 "
Dellacourt,42 Nicholson Place,,WEST ALBURY,NSW,2640,Riverina/Murray,Residential,122,,,Lutheran Aged Care Albury,Charitable,Inner Regional Australia,-36.07540064,146.8908956," $8,258,323 "
Brewarrina Multi-Purpose Service,56 Doyle Street,,BREWARRINA,NSW,2839,Orana Far West,Multi-Purpose Service,12,4,,Western NSW Local Health District,State Government,Very Remote Australia,-29.961591,146.864313," $885,351 "
BaptistCare Maranoa Centre - Alstonville,15 The Avenue,,ALSTONVILLE,NSW,2477,Far North Coast,Residential,90,,,BaptistCare NSW & ACT,Charitable,Inner Regional Australia,-28.8407184,153.435638," $5,763,466 "
Urana Multi-Purpose Service,127-129 Princess Street,,URANA,NSW,2645,Riverina/Murray,Multi-Purpose Service,19,,,Murrumbidgee Local Health District,State Government,Outer Regional Australia,-35.325391,146.267697," $779,588 "
St Basil's Annandale,252 Johnston Street,,ANNANDALE,NSW,2038,Inner West,Residential,83,,,St Basil's Homes,Charitable,Major Cities of Australia,-33.87589048,151.1727327," $5,146,461 "
Baradine Multi-Purpose Service,5-9 Macquarie Street,,BARADINE,NSW,2396,Orana Far West,Multi-Purpose Service,14,3,,Western NSW Local Health District,State Government,Remote Australia,-30.945519,149.067008," $748,189 "
Autumn Lodge Butler Street,50 Butler Street,,ARMIDALE,NSW,2350,New England,Residential,64,,,Autumn Lodge,Community Based,Inner Regional Australia,-30.503834,151.65837," $4,146,199 "
Macquarie Lodge Aged Care Plus Centre,171 Wollongong Road,,ARNCLIFFE,NSW,2205,South East Sydney,Residential,130,,,The Salvation Army (NSW) Property Trust,Charitable,Major Cities of Australia,-33.93965582,151.1348558," $8,788,135 "
A H Orr Lodge,27 Clissold Street,,ASHFIELD,NSW,2131,Inner West,Residential,60,,,Ashfield Baptist Homes Ltd,Religious,Major Cities of Australia,-33.89495522,151.1258414," $3,258,005 "
Urbenville Multi-Purpose Service,45 Beaury Street,,URBENVILLE,NSW,2475,New England,Multi-Purpose Service,19,6,,Northern NSW Local Health District,State Government,Outer Regional Australia,-28.47155531,152.5432704," $1,156,276 "
Opal Cardinal Freeman,8-10 Clissold Street,,ASHFIELD,NSW,2131,Inner West,Residential,135,,,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.89595,151.127894," $5,584,660 "
