state,suburb,count,home_care_places,residential_places,restorative_care_places,total,hcp_perc,rp_perc,rcp_perc,total_perc
ACT,AINSLIE,1,0,108,0,108,0,4.975422335039411e-4,0,4.8421590649252826e-4
ACT,BARTON,1,0,0,0,0,0,0,0,0
ACT,BELCONNEN,6,0,100,0,100,0,4.6068725324438997e-4,0,4.4834806156715583e-4
ACT,BRUCE,2,0,100,0,100,0,4.6068725324438997e-4,0,4.4834806156715583e-4
ACT,CALWELL,1,0,144,0,144,0,6.633896446719215e-4,0,6.456212086567044e-4
ACT,CAMPBELL,1,0,42,0,42,0,1.934886463626438e-4,0,1.8830618585820544e-4
ACT,CANBERRA,1,0,0,0,0,0,0,0,0
ACT,CRACE,1,0,0,0,0,0,0,0,0
ACT,CURTIN,1,0,115,0,115,0,5.297903412310484e-4,0,5.156002708022292e-4
ACT,DEAKIN,4,0,0,0,0,0,0,0,0
ACT,DICKSON,5,0,0,0,0,0,0,0,0
ACT,FARRER,4,0,130,0,130,0,5.988934292177069e-4,0,5.828524800373026e-4
ACT,FYSHWICK,3,0,0,0,0,0,0,0,0
ACT,GARRAN,1,0,72,0,72,0,3.316948223359608e-4,0,3.228106043283522e-4
ACT,GORDON,1,0,84,0,84,0,3.869772927252876e-4,0,3.7661237171641087e-4
ACT,GRIFFITH,3,0,161,0,161,0,7.417064777234678e-4,0,7.218403791231209e-4
ACT,GUNGAHLIN,3,0,0,0,0,0,0,0,0
ACT,HOLT,3,0,53,0,53,0,2.441642442195267e-4,0,2.376244726305926e-4
ACT,HUGHES,2,0,176,5,181,0,8.108095657101263e-4,0.0010235414534288639,8.115099914365521e-4
ACT,KINGSTON,1,0,0,0,0,0,0,0,0
ACT,LYNEHAM,4,0,193,0,193,0,8.891263987616726e-4,0,8.653117588246107e-4
ACT,MONASH,1,0,186,0,186,0,8.568782910345654e-4,0,8.339273945149098e-4
ACT,NARRABUNDAH,4,0,236,0,236,0,0.0010872219176567605,0,0.0010581014252984877
ACT,PAGE,3,0,224,0,224,0,0.0010319394472674335,0,0.001004299657910429
ACT,RED HILL,2,0,68,0,68,0,3.132673322061852e-4,0,3.0487668186566597e-4
ACT,STIRLING,2,0,186,0,186,0,8.568782910345654e-4,0,8.339273945149098e-4
ACT,SYMONSTON,1,0,0,0,0,0,0,0,0
ACT,WATSON,2,0,0,0,0,0,0,0,0
ACT,WESTON,7,0,207,15,222,0,9.536226142158872e-4,0.0030706243602865915,9.95332696679086e-4
ACT,WODEN,1,0,0,58,58,0,0,0.01187308085977482,2.6004187570895037e-4
NSW,ABBOTSFORD,1,0,120,0,120,0,5.528247038932679e-4,0,5.38017673880587e-4
NSW,ALBION PARK,2,0,151,0,151,0,6.956377523990289e-4,0,6.770055729664053e-4
NSW,ALBION PARK RAIL,2,0,149,0,149,0,6.86424007334141e-4,0,6.680386117350622e-4
NSW,ALBURY,12,0,246,25,271,0,0.0011332906429811994,0.00511770726714432,0.0012150232468469923
NSW,ALEXANDRIA,1,0,0,0,0,0,0,0,0
NSW,ALLAMBIE HEIGHTS,2,0,132,0,132,0,6.081071742825947e-4,0,5.918194412686457e-4
NSW,ALSTONVILLE,3,0,141,0,141,0,6.495690270745899e-4,0,6.321707668096897e-4
NSW,ANNANDALE,2,0,151,0,151,0,6.956377523990289e-4,0,6.770055729664053e-4
NSW,ARMIDALE,9,0,242,10,252,0,0.0011148631528514238,0.0020470829068577278,0.0011298371151492327
NSW,ARNCLIFFE,1,0,130,0,130,0,5.988934292177069e-4,0,5.828524800373026e-4
NSW,ASHFIELD,14,0,695,0,695,0,0.0032017764100485103,0,0.003116019027891733
NSW,ASHFORD,1,0,18,0,18,0,8.29237055839902e-5,0,8.070265108208805e-5
NSW,ASHMONT,1,0,0,0,0,0,0,0,0
NSW,AUBURN,10,0,361,0,361,0,0.0016630809842122479,0,0.0016185365022574325
NSW,AUSTRAL,2,0,236,0,236,0,0.0010872219176567605,0,0.0010581014252984877
NSW,AVALON BEACH,1,0,80,0,80,0,3.68549802595512e-4,0,3.5867844925372463e-4
NSW,BALGOWLAH,1,0,0,0,0,0,0,0,0
NSW,BALLINA,14,0,519,0,519,0,0.002390966844338384,0,0.0023269264395335385
NSW,BALMAIN,1,0,44,0,44,0,2.0270239142753158e-4,0,1.9727314708954856e-4
NSW,BALRANALD,2,0,30,0,30,0,1.3820617597331698e-4,0,1.3450441847014674e-4
NSW,BANGALOW,1,0,64,0,64,0,2.948398420764096e-4,0,2.8694275940297973e-4
NSW,BANGOR,1,0,130,0,130,0,5.988934292177069e-4,0,5.828524800373026e-4
NSW,BANKSIA,1,0,49,0,49,0,2.257367540897511e-4,0,2.1969055016790636e-4
NSW,BANKSTOWN,9,0,350,13,363,0,0.001612405386355365,0.0026612077789150462,0.0016275034634887756
NSW,BANORA POINT,7,0,273,0,273,0,0.0012576762013571847,0,0.0012239902080783353
NSW,BARADINE,1,3,14,0,17,0.0027548209366391185,6.44962154542146e-5,0,7.621917046641649e-5
NSW,BARDEN RIDGE,1,0,62,0,62,0,2.856260970115218e-4,0,2.779757981716366e-4
NSW,BARHAM,1,0,55,0,55,0,2.533779892844145e-4,0,2.465914338619357e-4
NSW,BARRABA,2,0,37,0,37,0,1.704542837004243e-4,0,1.6588878277984766e-4
NSW,BASIN VIEW,2,0,50,0,50,0,2.3034362662219498e-4,0,2.2417403078357792e-4
NSW,BASS HILL,3,0,174,0,174,0,8.015958206452386e-4,0,7.801256271268511e-4
NSW,BATEAU BAY,10,0,408,0,408,0,0.0018796039932371111,0,0.0018292600911939958
NSW,BATEHAVEN,1,0,95,0,95,0,4.3765289058217047e-4,0,4.2593065848879803e-4
NSW,BATEMANS BAY,1,0,40,0,40,0,1.84274901297756e-4,0,1.7933922462686232e-4
NSW,BATHURST,12,0,244,0,244,0,0.0011240768979163115,0,0.0010939692702238602
NSW,BATLOW,1,0,19,0,19,0,8.75305781164341e-5,0,8.51861316977596e-5
NSW,BAULKHAM HILLS,7,0,495,0,495,0,0.0022804019035597306,0,0.0022193229047574215
NSW,BAYVIEW,2,0,124,0,124,0,5.712521940230436e-4,0,5.559515963432732e-4
NSW,BEACONSFIELD,8,0,0,0,0,0,0,0,0
NSW,BEECROFT,1,0,95,0,95,0,4.3765289058217047e-4,0,4.2593065848879803e-4
NSW,BEGA,3,0,95,0,95,0,4.3765289058217047e-4,0,4.2593065848879803e-4
NSW,BELLA VISTA,44,0,0,0,0,0,0,0,0
NSW,BELLINGEN,3,0,54,0,54,0,2.4877111675197057e-4,0,2.4210795324626413e-4
NSW,BELMONT,2,0,106,0,106,0,4.883284884390534e-4,0,4.752489452611852e-4
NSW,BELMONT NORTH,2,0,100,0,100,0,4.6068725324438997e-4,0,4.4834806156715583e-4
NSW,BELMORE,2,0,150,0,150,0,6.91030879866585e-4,0,6.725220923507338e-4
NSW,BELROSE,7,0,285,18,303,0,0.0013129586717465114,0.00368474923234391,0.0013584946265484822
NSW,BERKELEY,1,0,33,0,33,0,1.5202679357064869e-4,0,1.4795486031716142e-4
NSW,BERKELEY VALE,1,0,160,0,160,0,7.37099605191024e-4,0,7.173568985074493e-4
NSW,BERRIDALE,2,0,14,0,14,0,6.44962154542146e-5,0,6.276872861940181e-5
NSW,BERRIGAN,2,0,40,0,40,0,1.84274901297756e-4,0,1.7933922462686232e-4
NSW,BERRY,2,0,146,0,146,0,6.726033897368094e-4,0,6.545881698880475e-4
NSW,BEVERLEY PARK,1,0,77,0,77,0,3.5472918499818027e-4,0,3.4522800740670995e-4
NSW,BEXLEY,10,0,885,0,885,0,0.004077082191212851,0,0.003967880344869329
NSW,BINGARA,2,0,43,0,43,0,1.980955188950877e-4,0,1.92789666473877e-4
NSW,BLACKTOWN,15,5,523,24,552,0.004591368227731864,0.00240939433446816,0.004912998976458547,0.0024748812998507
NSW,BLAKEHURST,1,0,104,0,104,0,4.791147433741656e-4,0,4.6628198402984207e-4
NSW,BLAXLAND,1,0,0,0,0,0,0,0,0
NSW,BLAYNEY,2,0,48,0,48,0,2.211298815573072e-4,0,2.152070695522348e-4
NSW,BOGGABRI,1,3,16,0,19,0.0027548209366391185,7.37099605191024e-5,0,8.51861316977596e-5
NSW,BOLTON POINT,3,0,89,0,89,0,4.1001165538750707e-4,0,3.9902977479476867e-4
NSW,BOMADERRY,1,0,75,0,75,0,3.455154399332925e-4,0,3.362610461753669e-4
NSW,BOMBALA,2,0,43,0,43,0,1.980955188950877e-4,0,1.92789666473877e-4
NSW,BONALBO,1,0,15,0,15,0,6.910308798665849e-5,0,6.725220923507337e-5
NSW,BONDI,1,0,56,0,56,0,2.579848618168584e-4,0,2.5107491447760725e-4
NSW,BONDI JUNCTION,5,0,0,0,0,0,0,0,0
NSW,BONNELLS BAY,1,0,124,0,124,0,5.712521940230436e-4,0,5.559515963432732e-4
NSW,BONNYRIGG,1,0,88,0,88,0,4.0540478285506316e-4,0,3.945462941790971e-4
NSW,BOORAGUL,3,0,63,3,66,0,2.902329695439657e-4,6.141248720573184e-4,2.9590972063432285e-4
NSW,BOOROWA,2,0,25,0,25,0,1.1517181331109749e-4,0,1.1208701539178896e-4
NSW,BOSSLEY PARK,2,0,213,0,213,0,9.812638494105506e-4,0,9.549813711380419e-4
NSW,BOTANY,1,0,170,0,170,0,7.83168330515463e-4,0,7.621917046641649e-4
NSW,BOURKE,2,0,27,0,27,0,1.2438555837598528e-4,0,1.2105397662313206e-4
NSW,BOWENFELS,1,0,62,0,62,0,2.856260970115218e-4,0,2.779757981716366e-4
NSW,BOWRAL,11,0,193,0,193,0,8.891263987616726e-4,0,8.653117588246107e-4
NSW,BRAIDWOOD,1,2,27,0,29,0.0018365472910927456,1.2438555837598528e-4,0,1.3002093785447518e-4
NSW,BREWARRINA,1,4,12,0,16,0.0036730945821854912,5.52824703893268e-5,0,7.173568985074493e-5
NSW,BRIGHTON LE SANDS,1,0,60,0,60,0,2.7641235194663397e-4,0,2.690088369402935e-4
NSW,Broadmeadow,1,0,0,0,0,0,0,0,0
NSW,BROKEN HILL,12,0,219,16,235,0,0.0010089050846052142,0.0032753326509723643,0.001053617944682816
NSW,BRONTE,1,0,105,0,105,0,4.8372161590660946e-4,0,4.7076546464551363e-4
NSW,BROOKVALE,2,0,69,0,69,0,3.178742047386291e-4,0,3.093601624813375e-4
NSW,BROULEE,2,0,80,0,80,0,3.68549802595512e-4,0,3.5867844925372463e-4
NSW,BULAHDELAH,1,0,57,0,57,0,2.625917343493023e-4,0,2.555583950932788e-4
NSW,BUNDANOON,1,0,90,0,90,0,4.14618527919951e-4,0,4.0351325541044023e-4
NSW,BUNDARRA,1,0,11,0,11,0,5.0675597856882895e-5,0,4.931828677238714e-5
NSW,BURRADOO,6,0,160,5,165,0,7.37099605191024e-4,0.0010235414534288639,7.397743015858071e-4
NSW,BURWOOD,5,0,147,0,147,0,6.772102622692532e-4,0,6.59071650503719e-4
NSW,BURWOOD HEIGHTS,1,0,64,0,64,0,2.948398420764096e-4,0,2.8694275940297973e-4
NSW,BYRON BAY,3,0,81,0,81,0,3.731566751279559e-4,0,3.631619298693962e-4
NSW,CABRAMATTA,3,0,329,0,329,0,0.001515661063174043,0,0.0014750651225559426
NSW,CAMDEN,1,0,176,0,176,0,8.108095657101263e-4,0,7.890925883581942e-4
NSW,CAMERON PARK,1,0,120,0,120,0,5.528247038932679e-4,0,5.38017673880587e-4
NSW,CAMPBELLTOWN,7,0,60,0,60,0,2.7641235194663397e-4,0,2.690088369402935e-4
NSW,CAMPSIE,14,0,148,21,169,0,6.818171348016972e-4,0.004298874104401228,7.577082240484934e-4
NSW,CANLEY VALE,2,0,177,0,177,0,8.154164382425703e-4,0,7.935760689738658e-4
NSW,CANOWINDRA,2,0,63,0,63,0,2.902329695439657e-4,0,2.8245927878730817e-4
