lga_new,ages60andUp,ages65andUp,ages70andUp,ages75andUp,ages80andUp,ages85andUp
ADELAIDE,4386,3290,2191,1283,740,397
ADELAIDE HILLS,10031,7212,4636,2647,1455,731
ADELAIDE PLAINS,1888,1313,797,407,216,93
ALBANY,10256,7781,5386,3524,2095,1070
ALBURY,12705,9600,6788,4363,2589,1346
ALEXANDRINA,10168,7997,5642,3413,1857,891
ALICE SPRINGS,3838,2314,1325,757,359,173
ALPINE,4105,3040,2131,1271,737,363
ANANGU PITJANTJATJARA,220,130,78,39,30,14
ARARAT,3556,2680,1840,1189,671,349
ARMADALE,13877,9881,6402,3720,2039,943
ARMIDALE REGIONAL,6878,5146,3682,2364,1353,701
ASHBURTON,956,360,118,54,19,8
AUGUSTA-MARGARET RIVER,3336,2348,1486,895,504,256
AURUKUN,95,57,18,3,0,0
BALLARAT,24364,18352,12772,8065,4781,2450
BALLINA,14394,11192,7947,5198,3262,1820
BALONNE,960,700,441,262,149,62
BALRANALD,590,407,259,177,101,50
BANANA,2879,2088,1411,869,480,222
BANYULE,29717,22517,16076,10410,6297,3369
BARCALDINE,708,532,376,234,132,58
BARCOO,65,43,23,16,7,3
BARKLY,769,465,247,110,46,7
BAROSSA,6658,4929,3346,2064,1182,609
BARUNGA WEST,1058,824,569,371,233,134
BASS COAST,12564,9639,6632,3935,2234,1178
BASSENDEAN,3389,2528,1748,1118,679,339
BATHURST REGIONAL,9394,7024,4833,3031,1800,942
BAW BAW,13623,10271,6994,4228,2281,1078
BAYSIDE,58967,44772,32227,21295,13565,7570
BAYSWATER,14766,11005,7690,4860,2911,1488
BEGA VALLEY,12204,9057,6148,3690,2040,989
BELLINGEN,4265,3079,2103,1307,724,339
BELMONT,7736,5762,4083,2745,1688,842
BELYUEN,12,7,4,1,1,1
BENALLA,4739,3640,2527,1623,919,472
BERRI AND BARMERA,3172,2365,1622,1062,656,338
BERRIGAN,3225,2558,1768,1099,632,314
BEVERLEY,656,497,336,197,102,44
BLACKALL-TAMBO,554,399,284,172,87,44
BLACKTOWN,54459,37997,24476,14180,7871,3712
BLAND,1702,1286,930,630,389,214
BLAYNEY,1864,1363,915,559,321,165
BLUE MOUNTAINS,21363,15747,10381,5928,3316,1596
BODDINGTON,396,270,167,98,40,17
BOGAN,623,498,372,240,125,54
BOROONDARA,38147,28718,20642,13464,8541,4844
BOULIA,73,48,34,14,5,2
BOURKE,495,337,222,146,80,45
BOYUP BROOK,577,434,286,169,90,33
BREAK O`DAY,2550,1873,1207,669,329,144
BREWARRINA,249,170,98,58,30,12
BRIDGETOWN-GREENBUSHES,1601,1207,767,427,199,98
BRIGHTON,3183,2197,1387,714,349,144
BRIMBANK,40070,28945,19349,11585,6603,3086
BRISBANE,208455,153020,105769,67111,40346,21639
BROKEN HILL,5142,3945,2793,1842,1124,574
BROOKTON,280,231,150,93,51,23
BROOME,2064,1185,615,293,124,47
BROOMEHILL-TAMBELLUP,255,181,123,73,34,18
BRUCE ROCK,265,198,124,66,46,20
BULLOO,84,51,32,20,11,6
BULOKE,2220,1712,1223,842,529,298
BUNBURY,8255,6135,4327,2725,1670,887
BUNDABERG,29158,22464,15824,9586,5281,2448
BURDEKIN,5001,3807,2702,1697,1002,504
BURKE,66,35,17,6,4,2
BURNIE,4722,3502,2417,1528,908,417
BURNSIDE,12735,9950,7266,4731,2970,1689
BURWOOD,7463,5576,4133,2907,1951,1064
BUSSELTON,10295,7751,5264,3152,1788,888
BYRON,8901,6040,3734,2063,1204,641
