S/T code,S/T name,LGA code,LGA name,0-4,5–9,10–14,15–19,20–24,25–29,30–34,35–39,40–44,45–49,50–54,55–59,60–64,65–69,70–74,75–79,80–84,85 and over,Total Persons
1,New South Wales,10050,Albury (C),3689,3454,3313,3308,3848,3612,3336,3272,3235,3430,3111,3454,3105,2812,2425,1774,1243,1346,53767
1,New South Wales,10130,Armidale Regional (A),1802,1841,1861,2685,3183,1893,1844,1616,1560,1786,1796,1962,1732,1464,1318,1011,652,701,30707
1,New South Wales,10250,Ballina (A),2218,2636,2606,2655,1880,1771,2114,2348,2474,2943,2898,3271,3202,3245,2749,1936,1442,1820,44208
1,New South Wales,10300,Balranald (A),165,154,168,131,165,129,117,143,127,132,128,191,183,148,82,76,51,50,2340
1,New South Wales,10470,Bathurst Regional (A),2711,2887,2931,3124,3367,3019,2670,2510,2527,2814,2584,2668,2370,2191,1802,1231,858,942,43206
1,New South Wales,10500,Bayside (A),10836,8960,7873,8687,13994,18698,18171,14175,11304,10800,9337,9027,7846,6991,5868,4442,3539,3830,174378
1,New South Wales,10550,Bega Valley (A),1647,1895,2007,1889,1285,1326,1435,1493,1653,2122,2359,3033,3147,2909,2458,1650,1051,989,34348
1,New South Wales,10600,Bellingen (A),620,840,864,757,382,493,539,646,689,901,910,1057,1186,976,796,583,385,339,12963
1,New South Wales,10650,Berrigan (A),444,498,535,422,333,423,415,412,446,503,472,579,667,790,669,467,318,314,8707
1,New South Wales,10750,Blacktown (C),30041,28638,25037,24253,26029,27292,30976,30769,25623,23415,20711,19291,16462,13521,10296,6309,4159,3712,366534
1,New South Wales,10800,Bland (A),348,430,438,348,309,275,304,332,358,343,347,451,416,356,300,241,175,214,5985
1,New South Wales,10850,Blayney (A),454,557,521,503,341,373,366,378,414,523,493,555,501,448,356,238,156,165,7342
1,New South Wales,10900,Blue Mountains (C),4385,5076,5194,5067,4154,3346,4052,4544,5155,5889,5169,5866,5616,5366,4453,2612,1720,1596,79260
1,New South Wales,10950,Bogan (A),199,184,152,133,171,206,134,107,155,202,169,186,125,126,132,115,71,54,2621
1,New South Wales,11150,Bourke (A),224,226,191,139,126,191,180,144,135,210,202,167,158,115,76,66,35,45,2630
1,New South Wales,11200,Brewarrina (A),115,131,145,102,97,158,111,90,63,125,139,130,79,72,40,28,18,12,1655
1,New South Wales,11250,Broken Hill (C),1013,1036,985,946,958,1182,1084,931,845,1089,1172,1351,1197,1152,951,718,550,574,17734
1,New South Wales,11300,Burwood (A),1784,1718,1594,2136,4992,5431,3729,2540,2068,2223,2116,2092,1887,1443,1226,956,887,1064,39886
1,New South Wales,11350,Byron (A),1883,1962,2026,1755,1353,1943,2195,2227,2508,2691,2424,2706,2861,2306,1671,859,563,641,34574
1,New South Wales,11400,Cabonne (A),785,1023,1129,974,560,538,591,763,808,991,895,1030,845,826,759,509,328,326,13680
1,New South Wales,11450,Camden (A),8296,7753,6911,6397,6283,7210,8065,7315,6799,6251,5140,4642,3900,3231,2497,1511,1017,941,94159
1,New South Wales,11500,Campbelltown (C) (NSW),12988,12528,11359,11051,12339,12735,13207,12547,10710,9862,9733,9972,8846,7532,5711,3276,2019,1724,168139
1,New South Wales,11520,Canada Bay (A),5883,4994,4419,4256,7125,9324,8985,7664,6490,6296,5592,5381,4597,4069,3483,2453,1872,2276,95159
1,New South Wales,11570,Canterbury-Bankstown (A),27650,25521,23150,22895,27755,30762,29782,26427,23435,23109,21887,21406,18541,14680,12396,9181,7282,8072,373931
1,New South Wales,11600,Carrathool (A),198,183,204,132,147,228,172,160,183,194,197,209,187,128,89,74,61,56,2802
1,New South Wales,11650,Central Coast (C) (NSW),20887,21927,21886,20639,20016,18957,19465,20012,20471,22954,21266,22649,20877,19190,18275,13181,9143,10252,342047
1,New South Wales,11700,Central Darling (A),146,138,92,117,112,134,121,133,94,110,119,121,122,92,86,53,24,23,1837
1,New South Wales,11720,Cessnock (C),4206,4225,4071,3601,3733,4074,4043,3795,3460,3791,3331,3820,3522,3162,2620,1548,1060,1039,59101
1,New South Wales,11730,Clarence Valley (A),2641,3001,3094,3054,2163,2126,2282,2347,2647,3235,3387,4121,4170,4036,3522,2415,1752,1654,51647
1,New South Wales,11750,Cobar (A),369,368,323,259,230,366,383,309,291,271,309,343,272,211,155,106,90,67,4722
1,New South Wales,11800,Coffs Harbour (C),4433,5074,4912,4728,3848,4148,4152,4187,4373,4869,4780,5527,5342,4989,4140,2914,2024,2111,76551
1,New South Wales,12000,Coolamon (A),256,284,348,301,188,223,186,204,271,276,304,290,259,269,254,194,128,133,4368
1,New South Wales,12150,Coonamble (A),359,257,282,230,188,228,239,209,185,269,279,291,275,217,214,130,81,81,4014
1,New South Wales,12160,Cootamundra-Gundagai Regional (A),596,685,792,649,512,493,512,564,559,696,688,822,799,826,695,607,359,406,11260
1,New South Wales,12350,Cowra (A),737,772,819,728,696,642,568,600,664,771,843,898,902,916,798,595,415,403,12767
