,service_name,postcode,suburb,state,geoj_lat,geoj_lon,home_care_places
1,Braidwood Multi-Purpose Service,2622,BRAIDWOOD,NSW,-35.44276381,149.8054073,2
2,Dellacourt,2640,WEST ALBURY,NSW,-36.07540064,146.8908956,1
3,Brewarrina Multi-Purpose Service,2839,BREWARRINA,NSW,-29.961591,146.864313,4
4,BaptistCare Maranoa Centre - Alstonville,2477,ALSTONVILLE,NSW,-28.8407184,153.435638,1
5,Urana Multi-Purpose Service,2645,URANA,NSW,-35.325391,146.267697,1
6,St Basil's Annandale,2038,ANNANDALE,NSW,-33.87589048,151.1727327,1
7,Baradine Multi-Purpose Service,2396,BARADINE,NSW,-30.945519,149.067008,3
8,Autumn Lodge Butler Street,2350,ARMIDALE,NSW,-30.503834,151.65837,1
9,Macquarie Lodge Aged Care Plus Centre,2205,ARNCLIFFE,NSW,-33.93965582,151.1348558,1
10,A H Orr Lodge,2131,ASHFIELD,NSW,-33.89495522,151.1258414,1
11,Urbenville Multi-Purpose Service,2475,URBENVILLE,NSW,-28.47155531,152.5432704,6
12,Opal Cardinal Freeman,2131,ASHFIELD,NSW,-33.89595,151.127894,1
13,Dorrigo Multi-Purpose Service,2453,DORRIGO,NSW,-30.340795,152.713811,6
14,Crowley Retirement Village,2478,BALLINA,NSW,-28.85368951,153.5693841,1
15,Warren Multi-Purpose Service,2824,WARREN,NSW,-31.693977,147.836194,4
16,Tumbarumba Multi-Purpose Service,2653,TUMBARUMBA,NSW,-35.77979811,148.0055303,10
17,Murray Haven Hostel,2732,BARHAM,NSW,-35.62314526,144.1331867,1
18,Delegate Multi-Purpose Service,2633,DELEGATE,NSW,-37.044992,148.945673,4
19,Richardson House,2347,BARRABA,NSW,-30.38285943,150.6051632,1
20,Culcairn Multi-Purpose Service,2660,CULCAIRN,NSW,-35.667327,147.042488,2
21,Weeroona Aged Care Plus Centre,2197,BASS HILL,NSW,-33.89957214,151.0034707,1
22,Oberon Multi-Purpose Service,2787,OBERON,NSW,-33.70539358,149.8530251,8
23,Uniting Nareen Gardens Bateau Bay,2261,BATEAU BAY,NSW,-33.37428044,151.4793683,1
24,Trangie Multi-Purpose Service,2823,TRANGIE,NSW,-32.02902357,147.9742714,2
25,Southern Cross Care Reynolds Court Residential Aged Care,2261,BATEAU BAY,NSW,-33.37655678,151.4805947,1
26,Trundle Multi-Purpose Service,2875,TRUNDLE,NSW,-32.92132544,147.704235,1
27,Bupa Bateau Bay,2261,BATEAU BAY,NSW,-33.37900507,151.4785501,1
28,RFBI Bellingen Masonic Village - JJ,2454,BELLINGEN,NSW,-30.45592416,152.8964324,1
29,Uniting Narla Belmont North,2280,BELMONT NORTH,NSW,-33.02256615,151.6582985,1
30,Uniting Wesley Gardens Belrose,2085,BELROSE,NSW,-33.7232747,151.2192574,1
31,St Elizabeth Home,2761,DEAN PARK,NSW,-33.73890812,150.8617045,1
32,Southern Cross Care Currawarna Residential Aged Care,2632,BOMBALA,NSW,-36.91877318,149.2397608,1
33,Harold Williams Home,2880,BROKEN HILL,NSW,-31.9743008,141.4626468,1
34,Aruma Lodge,2880,BROKEN HILL,NSW,-31.943575,141.485104,1
35,Byron Aged Care,2481,BYRON BAY,NSW,-28.64178738,153.6107986,1
36,Paling Court Residential Aged Care,2570,GRASMERE,NSW,-34.05665981,150.6746141,1
37,IRT Lakeview Lodge,2546,DALMENY,NSW,-36.16733209,150.1085019,1
38,Moyne Aged Care Plus Centre (0033),2804,CANOWINDRA,NSW,-33.56393702,148.6450084,1
39,IBIS Care Miranda,2228,MIRANDA,NSW,-34.03918489,151.1141905,1
40,The Laurels,2217,KOGARAH,NSW,-33.9702292,151.1292062,1
41,Southern Cross Care St Michael's Residential Aged Care,2470,CASINO,NSW,-28.87215194,153.0433524,1
42,Nuffield Village,2154,CASTLE HILL,NSW,-33.73141836,151.0225907,1
43,Warrina Village Hostel,2154,CASTLE HILL,NSW,-33.72850572,151.0234254,1
44,Brian King Gardens,2154,CASTLE HILL,NSW,-33.72850572,151.0234254,1
45,William Beech Gardens - Waler,2877,CONDOBOLIN,NSW,-33.08173415,147.1522513,1
46,Cooinda Hostel,2357,COONABARABRAN,NSW,-31.27408598,149.286025,1
47,Southern Cross Care Cootamundra Residential Aged Care,2590,COOTAMUNDRA,NSW,-34.6335112,148.0183038,1
48,BaptistCare Mid Richmond Centre - Coraki,2471,CORAKI,NSW,-28.994059,153.277965,1
49,Southern Cross Care Karinya Residential Aged Care,2646,COROWA,NSW,-35.9886123,146.3841826,1
50,Illawarra Diggers,2518,CORRIMAL,NSW,-34.36680286,150.8939735,1
51,Calvary St Paul's Retirement Community,2430,CUNDLETOWN,NSW,-31.90175824,152.5187223,1
52,Southern Cross Care Orana Residential Aged Care,2710,DENILIQUIN,NSW,-35.52969114,144.9607788,1
53,Merton Court Hostel,2328,DENMAN,NSW,-32.38966725,150.6845241,1
54,Catholic Healthcare St Mary's Villa,2830,DUBBO,NSW,-32.23852825,148.608666,1
55,Maybanke Aged Care Plus Centre,2203,DULWICH HILL,NSW,-33.90848368,151.1437203,1
56,Wesley Tebbutt,2115,DUNDAS,NSW,-33.79848423,151.0606228,1
57,BaptistCare Cooinda Court,2113,MACQUARIE PARK,NSW,-33.777251,151.11049,1
58,Catholic Healthcare Jemalong Residential Village,2871,FORBES,NSW,-33.35872232,147.9904663,1
59,Alexander Campbell House,2087,FORESTVILLE,NSW,-33.76389603,151.2189432,1
60,Southern Cross Care St Lawrence Residential Aged Care,2587,HARDEN,NSW,-34.55725448,148.3674601,1
61,Uniting Caroona Jarman Goonellabah,2480,GOONELLABAH,NSW,-28.82564046,153.3203039,1
62,Hunters Hill Village,2110,HUNTERS HILL,NSW,-33.83368739,151.1523822,1
63,Gill Waminda Aged Care Plus Centre,2580,GOULBURN,NSW,-34.76210651,149.6982514,1
64,Catholic Healthcare St Francis Aged Care,2460,GRAFTON,NSW,-29.67275546,152.9371529,1
65,Southern Cross Care St Catherine's Residential Aged Care,2460,GRAFTON,NSW,-29.67088759,152.941198,1
66,The Pioneers Lodge,2680,GRIFFITH,NSW,-34.29702039,146.0405675,1
67,HammondCare - Bond House,2170,HAMMONDVILLE,NSW,-33.950558,150.959081,1
68,The Whiddon Group - Hornsby,2077,HORNSBY,NSW,-33.7010696,151.1133028,1
69,Catholic Healthcare St Joseph Aged Care,2110,HUNTERS HILL,NSW,-33.83397475,151.1420162,1
70,Catholic Healthcare St Bedes Home,2221,SOUTH HURSTVILLE,NSW,-33.97533351,151.1110823,1
71,McLean Care Ltd,2360,INVERELL,NSW,-29.76043511,151.1354318,1
72,Vincent Court,2440,WEST KEMPSEY,NSW,-31.06106274,152.8256826,1
73,Blue Haven Care,2533,KIAMA,NSW,-34.66691955,150.8467345,1
74,Catholic Healthcare Bethlehem House,2217,KOGARAH,NSW,-33.96392074,151.1345997,1
75,The Whiddon Group - Kyogle,2474,KYOGLE,NSW,-28.62575475,153.001548,1
76,St Basil's Lakemba,2195,LAKEMBA,NSW,-33.92661622,151.0808402,1
77,Uniting Kamilaroi Lane Cove,2066,LANE COVE,NSW,-33.8170108,151.1697732,1
78,Uniting Annesley Haberfield,2045,HABERFIELD,NSW,-33.88647264,151.141152,1
79,Uniting The Marion Leichhardt,2040,LEICHHARDT,NSW,-33.88361937,151.1461364,1
80,Autumn Lodge Hostel,2447,MACKSVILLE,NSW,-30.712655,152.9203,1
81,The Whiddon Group - Maclean,2463,MACLEAN,NSW,-29.45435382,153.2034302,1
82,Benhome,2320,MAITLAND,NSW,-32.73008509,151.5454898,1
83,Uniting Wesley Heights Manly,2095,MANLY,NSW,-33.79413224,151.2804027,1
84,Brother Alberts Home,2148,MARAYONG,NSW,-33.74258834,150.8864461,1
